"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Boonyubol S.; Kabir S.; Cross J.S.","Boonyubol, Sasipa (57219667773); Kabir, Shahriar (57747667300); Cross, Jeffrey Scott (7402349007)","57219667773; 57747667300; 7402349007","Comparing MOOC Learners Engagement with Japanese Videos and Text to Speech Generated English Videos","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","317","320","3","1","10.1145/3491140.3528302","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132208553&doi=10.1145%2f3491140.3528302&partnerID=40&md5=c653ef8a6772675f391c0b962aa78d08","Conference paper","Final","","Scopus","2-s2.0-85132208553"
"Yang B.; He H.","Yang, Bo (57220789724); He, Huyang (57748641100)","57220789724; 57748641100","Learning Alone Yet Together: Enhancing Between-Learner Social Connectivity at Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","374","378","4","1","10.1145/3491140.3528294","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132153632&doi=10.1145%2f3491140.3528294&partnerID=40&md5=a61888cb5274d617616ff470aa992901","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132153632"
"Chine D.R.; Chhabra P.; Adeniran A.; Gupta S.; Koedinger K.R.","Chine, Danielle R. (57748614200); Chhabra, Pallavi (57746993400); Adeniran, Adetunji (57189075337); Gupta, Shivang (57391369900); Koedinger, Kenneth R. (6603678234)","57748614200; 57746993400; 57189075337; 57391369900; 6603678234","Development of Scenario-based Mentor Lessons: An Iterative Design Process for Training at Scale","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","469","471","2","2","10.1145/3491140.3528262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132133985&doi=10.1145%2f3491140.3528262&partnerID=40&md5=d22bea344e3ec4b2e9c7c6cdc951176a","Conference paper","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85132133985"
"Zhang A.X.; Igo M.; Facciotti M.; Karger D.","Zhang, Amy X. (55892530500); Igo, Michele (6701471749); Facciotti, Marc (6603705526); Karger, David (7007021839)","55892530500; 6701471749; 6603705526; 7007021839","Using student annotated hashtags and emojis to collect nuanced affective states","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","319","322","3","12","10.1145/3051457.3054014","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018437373&doi=10.1145%2f3051457.3054014&partnerID=40&md5=9e970909c87f5fe38c51868acfe74858","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85018437373"
"Wang K.; Lin B.; Rettig B.; Pardi P.; Singh R.","Wang, Ke (57001542000); Lin, Benjamin (57194044497); Rettig, Bjorn (57194043854); Pardi, Paul (57194043802); Singh, Rishabh (55496964900)","57001542000; 57194044497; 57194043854; 57194043802; 55496964900","Data-driven feedback generator for online programing courses","2017","L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale","","","","257","260","3","13","10.1145/3051457.3053999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018436047&doi=10.1145%2f3051457.3053999&partnerID=40&md5=e3f1b63f633b11dea95a0e0c502ff8c9","Conference paper","Final","","Scopus","2-s2.0-85018436047"
"Hadi Mogavi R.; Guo B.; Zhang Y.; Haq E.-U.; Hui P.; Ma X.","Hadi Mogavi, Reza (57223128215); Guo, Bingcan (57574366100); Zhang, Yuanhao (57574710200); Haq, Ehsan-Ul (57205283169); Hui, Pan (14029922900); Ma, Xiaojuan (56242668800)","57223128215; 57574366100; 57574710200; 57205283169; 14029922900; 56242668800","When Gamification Spoils Your Learning: A Qualitative Case Study of Gamification Misuse in a Language-Learning App","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","175","188","13","3","10.1145/3491140.3528274","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132190149&doi=10.1145%2f3491140.3528274&partnerID=40&md5=a2e19fa16249dddf7e6f53218151c91a","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132190149"
"Banawan M.; Shin J.; Balyan R.; Leite W.L.; McNamara D.S.","Banawan, Michelle (56534256300); Shin, Jinnie (57209368772); Balyan, Renu (55314411800); Leite, Walter L. (23393086500); McNamara, Danielle S. (7202710483)","56534256300; 57209368772; 55314411800; 23393086500; 7202710483","Math Discourse Linguistic Components (Cohesive Cues within a Math Discussion Board Discourse)","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","389","394","5","2","10.1145/3491140.3528320","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132150090&doi=10.1145%2f3491140.3528320&partnerID=40&md5=ee8e7c1a98f0d10fd2887e924c4cacab","Conference paper","Final","","Scopus","2-s2.0-85132150090"
"Scanlon E.; Herodotou C.","Scanlon, Eileen (7005219969); Herodotou, Christothea (37111011800)","7005219969; 37111011800","Advancing the Democratization of Research: Citizen Science","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","280","283","3","1","10.1145/3491140.3528308","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132166021&doi=10.1145%2f3491140.3528308&partnerID=40&md5=634366d98bd4084e3ff7876e57bb08d7","Conference paper","Final","","Scopus","2-s2.0-85132166021"
"Robins A.; Hunt T.; Robertson D.; Carter R.","Robins, Andey (57747321600); Hunt, Tiffany (57213149571); Robertson, Dana (55875818700); Carter, Richard (56893094500)","57747321600; 57213149571; 55875818700; 56893094500","Amazon Alexa Skills as a Novel Modality for In-service Professional Micro-Development (WIP)","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","284","288","4","0","10.1145/3491140.3528314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132179119&doi=10.1145%2f3491140.3528314&partnerID=40&md5=0750e04440353187f0faa93e296529ef","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85132179119"
"Li X.V.; Rosson M.B.; Robert J.","Li, Xiaotian Vivian (57748294000); Rosson, Mary Beth (7003266859); Robert, Jenay (58446967400)","57748294000; 7003266859; 58446967400","A Scenario-based Exploration of Expected Usefulness, Privacy Concerns, and Adoption Likelihood of Learning Analytics","2022","L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale","","","","48","59","11","0","10.1145/3491140.3528271","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132174586&doi=10.1145%2f3491140.3528271&partnerID=40&md5=54d1790eb6db9727e1e5da2139e1c452","Conference paper","Final","","Scopus","2-s2.0-85132174586"
