,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID,Author 1 First Name,Author 1 Last Name,Author 1 ID,Author 2 First Name,Author 2 Last Name,Author 2 ID,Author 3 First Name,Author 3 Last Name,Author 3 ID,Author 4 First Name,Author 4 Last Name,Author 4 ID,Author 5 First Name,Author 5 Last Name,Author 5 ID,Author 6 First Name,Author 6 Last Name,Author 6 ID,Author 7 First Name,Author 7 Last Name,Author 7 ID,Author 8 First Name,Author 8 Last Name,Author 8 ID,Author 9 First Name,Author 9 Last Name,Author 9 ID,Author 10 First Name,Author 10 Last Name,Author 10 ID,Author 11 First Name,Author 11 Last Name,Author 11 ID,Author 12 First Name,Author 12 Last Name,Author 12 ID,Author 2 Affiliation,Author 2 Country,Author 3 Affiliation,Author 3 Country,Author 4 Affiliation,Author 4 Country,Author 5 Affiliation,Author 5 Country,Author 6 Affiliation,Author 6 Country,Author 7 Affiliation,Author 7 Country,Author 8 Affiliation,Author 8 Country,Author 9 Affiliation,Author 9 Country,Author 10 Affiliation,Author 10 Country,Author 11 Affiliation,Author 11 Country,Author 12 Affiliation,Author 12 Country
20,57194044631; 57189378994; 56597707600; 14041775100,Observing personalizations in learning: Identifying heterogeneous treatment effects using causal trees,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,299,302,3.0,2,10.1145/3051457.3054009,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018442094&doi=10.1145%2f3051457.3054009&partnerID=40&md5=dd0adb8d38f0c44cfb9ad37dd00c4a99,Conference paper,Final,,Scopus,2-s2.0-85018442094,Biao,Yin,57194044631,Thanaporn,Patikorn,57189378994,Anthony F.,Botelho,56597707600,Neil T.,Heffernan,14041775100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,57748933200; 57746670700; 57748933300; 6603866056,Incorporating Habitats in Conceptual Models and Agent-Based Simulations: Expanding the Virtual Ecological Research Assistant (VERA),2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,472,474,2.0,2,10.1145/3491140.3528261,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132145535&doi=10.1145%2f3491140.3528261&partnerID=40&md5=d25ef07c5ba87140041a48db60c76d1c,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85132145535,Scott,Bunin,57748933200,Willventchy,Celestin,57746670700,Andrew,Hornback,57748933300,Spencer,Rugaber,6603866056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,55314576400; 57208408234,EdTech and Girls Education in Low- and Middle-Income Countries: Which Intervention Types Have the Greatest Impact on Learning Outcomes for Girls?,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,330,334,4.0,1,10.1145/3491140.3528305,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132181479&doi=10.1145%2f3491140.3528305&partnerID=40&md5=1c6623152df9a724446e409b586874de,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85132181479,Katy,Jordan,55314576400,Christina,Myers,57208408234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,57202043077; 56448682500; 7004362439; 55657281000,Measuring Cultural Dimensions of Learning in Online Courses,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,395,399,4.0,0,10.1145/3491140.3528333,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132187613&doi=10.1145%2f3491140.3528333&partnerID=40&md5=82b8b0f98ec79c3c8f343c234a28b7c5,Conference paper,Final,,Scopus,2-s2.0-85132187613,Ji Yong,Cho,57202043077,Yue,Li,56448682500,Marianne E.,Krasny,7004362439,René F.,Kizilcec,55657281000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,57200299897; 57156123300; 15623054000; 6603032946; 6507901112; 22979798200; 19639011200; 7006564183,Digital Education For All: Multi-University Study of Increasing Competent Student Admissions at Scale,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,72,81,9.0,0,10.1145/3491140.3528266,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132180912&doi=10.1145%2f3491140.3528266&partnerID=40&md5=869f6cb48761f4a42d377116a9896b85,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85132180912,Nea,Pirttinen,57200299897,Juho,Leinonen,57156123300,Annemari,Auvinen,15623054000,Vesa,Lappalainen,6603032946,Katja,Tynkkynen,6507901112,Henrik,Hedberg,22979798200,Mikko-Jussi,Laakso,19639011200,Kjell,Lemström,7006564183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,57156123300; 14019704700; 57192188480,Preventing keystroke based identification in open data sets,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,101,109,8.0,5,10.1145/3051457.3051458,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018432742&doi=10.1145%2f3051457.3051458&partnerID=40&md5=e91cb7cb56d8531abcc97dbc99f05867,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85018432742,Juho,Leinonen,57156123300,Petri,Ihantola,14019704700,Arto,Hellas,57192188480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,56237871000; 57190375436; 57747327800; 57194851520; 57195955075; 57351645600; 56187776800,"Analysis of the Applicability of General Scaling Laws on Course Size, Completion Rates, and Forum Activity in MOOCs",2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,294,298,4.0,0,10.1145/3491140.3528310,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132196146&doi=10.1145%2f3491140.3528310&partnerID=40&md5=0b8fc14f00ec40bb33e94a918c6d8d3e,Conference paper,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-85132196146,Thomas,Staubitz,56237871000,Max,Bothe,57190375436,Mohamed,Elhayany,57747327800,Christiane,Hagedorn,57194851520,Sebastian,Serth,57195955075,Theresa,Zobel,57351645600,Christoph,Meinel,56187776800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,56733528800; 50561748500; 57194034007; 8269962600,"Gradescope: A fast, flexible, and fair system for scalable assessment of handwritten work",2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,81,88,7.0,51,10.1145/3051457.3051466,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018456836&doi=10.1145%2f3051457.3051466&partnerID=40&md5=150b98cd89ca99c249e6ea894bf8bbed,Conference paper,Final,,Scopus,2-s2.0-85018456836,Arjun,Singh,56733528800,Sergey,Karayev,50561748500,Kevin,Gutowski,57194034007,Pieter,Abbeel,8269962600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,35183234600,Scaling expert feedback: Two case studies,2017,L@S 2017 - Proceedings of the 4th (2017) ACM Conference on Learning at Scale,,,,71,80,9.0,22,10.1145/3051457.3051459,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018449062&doi=10.1145%2f3051457.3051459&partnerID=40&md5=899abdf8ab36e2c4fa56ca0f1dcdc2f2,Conference paper,Final,,Scopus,2-s2.0-85018449062,David A.,Joyner,35183234600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,57202432695; 35183234600,An Examination of Unofficial Course Reviews in a Graduate Program at Scale,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,289,293,4.0,0,10.1145/3491140.3528330,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132158864&doi=10.1145%2f3491140.3528330&partnerID=40&md5=09891f241aae41db42bedcdb61c83b00,Conference paper,Final,,Scopus,2-s2.0-85132158864,Bobbie L.,Eicher,57202432695,David A.,Joyner,35183234600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,57201722565; 13005227000,Understanding the Relationship Between Students' Learning Outcome and Behavioral Patterns using Touch Trajectories,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,441,445,4.0,1,10.1145/3491140.3528311,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132190682&doi=10.1145%2f3491140.3528311&partnerID=40&md5=cb192defea7746264d026350b6785c48,Conference paper,Final,,Scopus,2-s2.0-85132190682,Jungwook,Rhim,57201722565,Gahgene,Gweon,13005227000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,57222491843; 57747325000; 57056479100; 57053548200; 57748618800; 56144824600,Integrating Dynamic Supports into an Equity Teaching Simulation to Promote Equity Mindsets,2022,L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale,,,,364,367,3.0,0,10.1145/3491140.3528327,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132165557&doi=10.1145%2f3491140.3528327&partnerID=40&md5=46f0f3dfedc92a65c1bf612a4fe6d96e,Conference paper,Final,All Open Access; Bronze Open Access; Green Open Access,Scopus,2-s2.0-85132165557,G.R.,Marvez,57222491843,Tianyuan,Zheng,57747325000,Joshua,Littenberg-Tobias,57056479100,Garron,Hillaire,57053548200,Sara,O'Brien,57748618800,Justin,Reich,56144824600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
